date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:40:05	246/246	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Jul%202025%2012:40:04%20GMT	https://html.designingmedia.com/dezvu	C:/My%20Web%20Sites/METROCALIB/html.designingmedia.com/dezvu.0.delayed	(from )
13:40:06	38914/38914	---M--	200	added ('OK')	text/html	date:Mon,%2028%20Feb%202022%2021:31:50%20GMT	https://html.designingmedia.com/dezvu/	C:/My%20Web%20Sites/METROCALIB/html.designingmedia.com/dezvu/index.html	(from )
13:40:06	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Jul%202025%2012:40:06%20GMT	https://html.designingmedia.com/robots.txt		(from )
13:40:07	57095/57095	---M--	200	added ('OK')	text/css	date:Tue,%2016%20Nov%202021%2023:40:34%20GMT	https://html.designingmedia.com/dezvu/assets/css/animate.css	C:/My%20Web%20Sites/METROCALIB/html.designingmedia.com/dezvu/assets/css/animate.css	(from https://html.designingmedia.com/dezvu/)
13:40:07	156228/156228	---MCZ	200	added ('OK')	text/css	etag:W/%22aa1272633e7e552395d147a499bad186%22	https://pro.fontawesome.com/releases/v5.10.0/css/all.css	C:/My%20Web%20Sites/METROCALIB/pro.fontawesome.com/releases/v5.10.0/css/all.css	(from https://html.designingmedia.com/dezvu/)
13:40:08	2666/2666	---M--	200	added ('OK')	text/css	date:Fri,%2025%20Feb%202022%2022:12:22%20GMT	https://html.designingmedia.com/dezvu/assets/css/super-classes.css	C:/My%20Web%20Sites/METROCALIB/html.designingmedia.com/dezvu/assets/css/super-classes.css	(from https://html.designingmedia.com/dezvu/)
13:40:08	21931/21931	---M--	200	added ('OK')	text/css	date:Mon,%2028%20Feb%202022%2022:14:04%20GMT	https://html.designingmedia.com/dezvu/assets/css/style.css	C:/My%20Web%20Sites/METROCALIB/html.designingmedia.com/dezvu/assets/css/style.css	(from https://html.designingmedia.com/dezvu/)
13:40:10	24022/24022	---M--	200	added ('OK')	text/css	date:Tue,%2001%20Mar%202022%2014:52:00%20GMT	https://html.designingmedia.com/dezvu/assets/css/mobile.css	C:/My%20Web%20Sites/METROCALIB/html.designingmedia.com/dezvu/assets/css/mobile.css	(from https://html.designingmedia.com/dezvu/)
13:40:11	38914/38914	---M--	200	added ('OK')	text/html	date:Mon,%2028%20Feb%202022%2021:31:50%20GMT	https://html.designingmedia.com/dezvu/index.html	C:/My%20Web%20Sites/METROCALIB/html.designingmedia.com/dezvu/index-2.html	(from https://html.designingmedia.com/dezvu/)
13:40:11	4467/4467	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Feb%202022%2014:56:20%20GMT	https://html.designingmedia.com/dezvu/assets/image/logo-img.png	C:/My%20Web%20Sites/METROCALIB/html.designingmedia.com/dezvu/assets/image/logo-img.png	(from https://html.designingmedia.com/dezvu/)
13:40:12	23941/23941	---M--	200	added ('OK')	text/html	date:Mon,%2028%20Feb%202022%2021:46:28%20GMT	https://html.designingmedia.com/dezvu/service.html	C:/My%20Web%20Sites/METROCALIB/html.designingmedia.com/dezvu/service.html	(from https://html.designingmedia.com/dezvu/)
13:40:12	23971/23971	---M--	200	added ('OK')	text/html	date:Mon,%2028%20Feb%202022%2021:36:32%20GMT	https://html.designingmedia.com/dezvu/portfolio.html	C:/My%20Web%20Sites/METROCALIB/html.designingmedia.com/dezvu/portfolio.html	(from https://html.designingmedia.com/dezvu/)
13:40:12	27481/27481	---M--	200	added ('OK')	text/html	date:Mon,%2028%20Feb%202022%2021:35:32%20GMT	https://html.designingmedia.com/dezvu/about.html	C:/My%20Web%20Sites/METROCALIB/html.designingmedia.com/dezvu/about.html	(from https://html.designingmedia.com/dezvu/)
